dataset,pde_class,method,relative_l2,error_percent,ratio_to_calibrated_single
heat_generated,diffusion,mf_fno_transfer_film,0.00016373524846206606,0.016373524846206605,1.6851575111313999
heat_generated,diffusion,mf_fno_allpairs,0.00012515762609369063,0.012515762609369062,1.2881179566904402
heat_generated,diffusion,convnext_unet_film,0.00010498296504098306,0.010498296504098305,1.0804810432778906
heat_generated,diffusion,fno_fire_distcond,9.146040517147266e-05,0.009146040517147265,0.94130732504758
heat_generated,diffusion,wno_transfer_film,0.000267737439140126,0.0267737439140126,2.7555444586056743
heat_generated,diffusion,mf_deeponet,0.02279354294571447,2.279354294571447,234.59035522925785
heat_generated,diffusion,st_hf_pod_gp,0.003271148369132698,0.3271148369132698,33.6665458173858
heat_generated,diffusion,uqcorr_transolver_pred,0.0004938945378630332,0.04938945378630332,5.083145492520419
heat_generated,diffusion,uqcorr_convnext_pred,0.00014853857732557727,0.014853857732557728,1.5287538976737831
heat_generated,diffusion,single_l2,9.716317162075589e-05,0.00971631716207559,1.0
heat_generated,diffusion,inverse_mse,5.925699753980214e-05,0.005925699753980214,0.6098709680977903
heat_generated,diffusion,full,6.203254887677933e-05,0.006203254887677933,0.6384368464103122
heat_local,diffusion,mf_fno_transfer_film,0.00013891758427381313,0.013891758427381313,2.098505104422917
heat_local,diffusion,mf_fno_allpairs,8.783192215392346e-05,0.008783192215392347,1.3267991804981982
heat_local,diffusion,convnext_unet_film,8.593253351940455e-05,0.008593253351940455,1.2981067959764199
heat_local,diffusion,fno_fire_distcond,6.6198354238464e-05,0.006619835423846399,1.0
heat_local,diffusion,wno_transfer_film,0.00017272421444767747,0.017272421444767747,2.6091919721369377
heat_local,diffusion,mf_deeponet,0.01582310295503549,1.582310295503549,239.02562438390063
heat_local,diffusion,st_hf_pod_gp,0.003117024114005565,0.3117024114005565,47.086126987042896
heat_local,diffusion,uqcorr_transolver_pred,0.0002682732882934929,0.026827328829349288,4.052567339168305
heat_local,diffusion,uqcorr_convnext_pred,0.00012148517724219533,0.012148517724219533,1.835169146419767
heat_local,diffusion,single_l2,6.6198354238464e-05,0.006619835423846399,1.0
heat_local,diffusion,inverse_mse,4.365750007467229e-05,0.004365750007467229,0.6594952484378451
heat_local,diffusion,full,4.350846474454643e-05,0.004350846474454643,0.6572439034936945
lid_driven_cavity_v2,convection,mf_fno_transfer_film,0.9852244273614966,98.52244273614966,599.6701424061089
lid_driven_cavity_v2,convection,mf_fno_allpairs,0.0028989528097758954,0.28989528097758954,1.7644867463573806
lid_driven_cavity_v2,convection,convnext_unet_film,0.9852244269612641,98.5224426961264,599.670142162502
lid_driven_cavity_v2,convection,fno_fire_distcond,0.0068058433711182835,0.6805843371118283,4.142468406393546
lid_driven_cavity_v2,convection,wno_transfer_film,0.03601885370636997,3.6018853706369973,21.92336134950343
lid_driven_cavity_v2,convection,mf_deeponet,0.7011072192748354,70.11072192748354,426.73836980518456
lid_driven_cavity_v2,convection,st_hf_pod_gp,0.004092376117553641,0.4092376117553641,2.490879946780193
lid_driven_cavity_v2,convection,uqcorr_transolver_pred,0.020622791001978797,2.0622791001978795,12.552340028847475
lid_driven_cavity_v2,convection,uqcorr_convnext_pred,0.0016429439414948936,0.16429439414948935,1.0
lid_driven_cavity_v2,convection,single_l2,0.0016429439414948936,0.16429439414948935,1.0
lid_driven_cavity_v2,convection,inverse_mse,0.0014208703607311325,0.14208703607311327,0.8648319183905331
lid_driven_cavity_v2,convection,full,0.0014169568283088334,0.14169568283088335,0.8624498940721999
fluid,convection,mf_fno_transfer_film,0.015548988681977821,1.5548988681977822,0.9676373550848109
fluid,convection,mf_fno_allpairs,0.016852064993955435,1.6852064993955436,1.0487297876400645
fluid,convection,convnext_unet_film,0.015724866341908044,1.5724866341908044,0.978582490948897
fluid,convection,fno_fire_distcond,0.015783223691526498,1.5783223691526498,0.9822141581003441
fluid,convection,wno_transfer_film,0.023303863555174397,2.33038635551744,1.4502350831294042
fluid,convection,mf_deeponet,0.04409231054755768,4.409231054755768,2.7439319450575237
fluid,convection,st_hf_pod_gp,0.027928469900061138,2.792846990006114,1.738031411456619
fluid,convection,uqcorr_transolver_pred,0.026239946474269,2.6239946474269,1.632952015288172
fluid,convection,uqcorr_convnext_pred,0.019474871390765976,1.9474871390765975,1.211951042515044
fluid,convection,single_l2,0.01606902482657358,1.6069024826573581,1.0
fluid,convection,inverse_mse,0.015180622541260208,1.5180622541260207,0.9447133665607256
fluid,convection,full,0.014966702000932896,1.4966702000932897,0.9314007640452606
ext__rayleigh_benard_2d,convection,mf_fno_transfer_film,0.00011230395391057453,0.011230395391057453,3.7322803220023935
ext__rayleigh_benard_2d,convection,mf_fno_allpairs,9.150088013377012e-05,0.009150088013377012,3.040916392321372
ext__rayleigh_benard_2d,convection,convnext_unet_film,7.148447312080887e-05,0.007148447312080887,2.375696340753521
ext__rayleigh_benard_2d,convection,fno_fire_distcond,3.0089903282056452e-05,0.003008990328205645,1.0
ext__rayleigh_benard_2d,convection,wno_transfer_film,0.0001370777084921495,0.013707770849214951,4.555604822229297
ext__rayleigh_benard_2d,convection,mf_deeponet,0.000998813634323,0.0998813634323,33.19431189127895
ext__rayleigh_benard_2d,convection,st_hf_pod_gp,0.002951551039941556,0.29515510399415557,98.0910776706171
ext__rayleigh_benard_2d,convection,uqcorr_transolver_pred,0.0005288396781126133,0.052883967811261326,17.57531997213088
ext__rayleigh_benard_2d,convection,uqcorr_convnext_pred,0.00019473352478707406,0.019473352478707406,6.4717231877312065
ext__rayleigh_benard_2d,convection,single_l2,3.0089903282056452e-05,0.003008990328205645,1.0
