seed,query_row,evaluation_case,method,relative_l2,error_percent
172,10,1,expert:uqcorr_convnext_pred,0.09166976172981553,9.166976172981553
172,11,2,expert:uqcorr_convnext_pred,0.08976203877710665,8.976203877710665
172,12,3,expert:uqcorr_convnext_pred,0.08126727819153338,8.126727819153338
172,13,4,expert:uqcorr_convnext_pred,0.08208875791585624,8.208875791585623
172,14,5,expert:uqcorr_convnext_pred,0.07651171412078328,7.6511714120783285
172,15,6,expert:uqcorr_convnext_pred,0.0827781630195676,8.27781630195676
172,16,7,expert:uqcorr_convnext_pred,0.07274514270190363,7.274514270190363
172,10,1,hf_only_control,0.25105313261537626,25.105313261537628
172,11,2,hf_only_control,0.23416490567858048,23.416490567858048
172,12,3,hf_only_control,0.2326329006707058,23.26329006707058
172,13,4,hf_only_control,0.22438209466852138,22.43820946685214
172,14,5,hf_only_control,0.22775669024737305,22.775669024737304
172,15,6,hf_only_control,0.22181780548985927,22.181780548985927
172,16,7,hf_only_control,0.24154640541224207,24.154640541224207
172,10,1,training_mean_control,0.05740517692942737,5.740517692942737
172,11,2,training_mean_control,0.08020002030606393,8.020002030606394
172,12,3,training_mean_control,0.062447514237936784,6.244751423793678
172,13,4,training_mean_control,0.06973859945635905,6.973859945635905
172,14,5,training_mean_control,0.06588835843539756,6.588835843539756
172,15,6,training_mean_control,0.07922904448851116,7.922904448851116
172,16,7,training_mean_control,0.056673024194245615,5.667302419424561
172,10,1,b5__selected_single,0.05740517654986265,5.740517654986265
172,11,2,b5__selected_single,0.0802000197961114,8.02000197961114
172,12,3,b5__selected_single,0.0624475136845688,6.24475136845688
172,13,4,b5__selected_single,0.0697385991608417,6.97385991608417
172,14,5,b5__selected_single,0.06588835782827697,6.588835782827697
172,15,6,b5__selected_single,0.07922904400787054,7.922904400787053
172,16,7,b5__selected_single,0.05667302347539288,5.667302347539288
172,10,1,b5__inverse_mse,0.07121259243071802,7.121259243071802
172,11,2,b5__inverse_mse,0.07184517795772026,7.184517795772026
172,12,3,b5__inverse_mse,0.05505804544895295,5.5058045448952955
172,13,4,b5__inverse_mse,0.057507860570344495,5.75078605703445
172,14,5,b5__inverse_mse,0.05159505210987709,5.159505210987709
172,15,6,b5__inverse_mse,0.059569557502616485,5.956955750261648
172,16,7,b5__inverse_mse,0.04405799343582974,4.405799343582974
172,10,1,b5__full,0.08454469792488505,8.454469792488505
172,11,2,b5__full,0.08233968397055969,8.233968397055968
172,12,3,b5__full,0.06181879029875639,6.181879029875639
172,13,4,b5__full,0.06194210917999237,6.194210917999237
172,14,5,b5__full,0.054496213215000575,5.449621321500057
172,15,6,b5__full,0.0644434502061723,6.44434502061723
172,16,7,b5__full,0.043877759113529306,4.38777591135293
172,10,1,b5__uniform,0.08094486483044148,8.094486483044149
172,11,2,b5__uniform,0.08046849981239644,8.046849981239644
172,12,3,b5__uniform,0.06351632291948009,6.351632291948009
172,13,4,b5__uniform,0.06141195376390333,6.141195376390333
172,14,5,b5__uniform,0.05414382502727602,5.4143825027276025
172,15,6,b5__uniform,0.05954987570134002,5.954987570134002
172,16,7,b5__uniform,0.04607388365372892,4.607388365372892
172,10,1,b5__auto,0.08454469792488505,8.454469792488505
172,11,2,b5__auto,0.08233968397055969,8.233968397055968
172,12,3,b5__auto,0.06181879029875639,6.181879029875639
172,13,4,b5__auto,0.06194210917999237,6.194210917999237
172,14,5,b5__auto,0.054496213215000575,5.449621321500057
172,15,6,b5__auto,0.0644434502061723,6.44434502061723
172,16,7,b5__auto,0.043877759113529306,4.38777591135293
172,10,1,b5__allpairs,0.3700762833514775,37.00762833514775
172,11,2,b5__allpairs,0.27062224674666063,27.062224674666062
172,12,3,b5__allpairs,0.19251767594494745,19.251767594494744
172,13,4,b5__allpairs,0.14100808032536297,14.100808032536296
172,14,5,b5__allpairs,0.10053296976151892,10.053296976151891
172,15,6,b5__allpairs,0.08869925441155237,8.869925441155237
172,16,7,b5__allpairs,0.07548930689069738,7.5489306890697385
172,10,1,b10__selected_single,0.05740517654986265,5.740517654986265
172,11,2,b10__selected_single,0.0802000197961114,8.02000197961114
172,12,3,b10__selected_single,0.0624475136845688,6.24475136845688
172,13,4,b10__selected_single,0.0697385991608417,6.97385991608417
172,14,5,b10__selected_single,0.06588835782827697,6.588835782827697
172,15,6,b10__selected_single,0.07922904400787054,7.922904400787053
172,16,7,b10__selected_single,0.05667302347539288,5.667302347539288
172,10,1,b10__inverse_mse,0.07054771151004711,7.0547711510047115
172,11,2,b10__inverse_mse,0.07145572459149324,7.145572459149324
172,12,3,b10__inverse_mse,0.05470540828595994,5.470540828595994
172,13,4,b10__inverse_mse,0.057240644227762885,5.724064422776289
172,14,5,b10__inverse_mse,0.05134792029611847,5.134792029611847
172,15,6,b10__inverse_mse,0.05941419941851224,5.941419941851224
172,16,7,b10__inverse_mse,0.04379541211058777,4.379541211058776
172,10,1,b10__full,0.08377788085447979,8.377788085447978
172,11,2,b10__full,0.08234440854622521,8.234440854622521
172,12,3,b10__full,0.06166365021764514,6.166365021764514
172,13,4,b10__full,0.06182040133784172,6.182040133784172
172,14,5,b10__full,0.05461305504161216,5.461305504161216
172,15,6,b10__full,0.0649485332749467,6.49485332749467
172,16,7,b10__full,0.043983664942267,4.3983664942267
172,10,1,b10__uniform,0.08094486483044148,8.094486483044149
172,11,2,b10__uniform,0.08046849981239644,8.046849981239644
172,12,3,b10__uniform,0.06351632291948009,6.351632291948009
172,13,4,b10__uniform,0.06141195376390333,6.141195376390333
172,14,5,b10__uniform,0.05414382502727602,5.4143825027276025
172,15,6,b10__uniform,0.05954987570134002,5.954987570134002
172,16,7,b10__uniform,0.04607388365372892,4.607388365372892
172,10,1,b10__auto,0.08377788085447979,8.377788085447978
172,11,2,b10__auto,0.08234440854622521,8.234440854622521
172,12,3,b10__auto,0.06166365021764514,6.166365021764514
172,13,4,b10__auto,0.06182040133784172,6.182040133784172
172,14,5,b10__auto,0.05461305504161216,5.461305504161216
172,15,6,b10__auto,0.0649485332749467,6.49485332749467
172,16,7,b10__auto,0.043983664942267,4.3983664942267
172,10,1,b10__allpairs,0.3700762833514775,37.00762833514775
172,11,2,b10__allpairs,0.27062224674666063,27.062224674666062
172,12,3,b10__allpairs,0.19251767594494745,19.251767594494744
172,13,4,b10__allpairs,0.14100808032536297,14.100808032536296
172,14,5,b10__allpairs,0.10053296976151892,10.053296976151891
172,15,6,b10__allpairs,0.08869925441155237,8.869925441155237
172,16,7,b10__allpairs,0.07548930689069738,7.5489306890697385
273,10,1,expert:mf_fno_transfer_film,0.17993583763449067,17.993583763449067
273,11,2,expert:mf_fno_transfer_film,0.1700961289856892,17.00961289856892
273,12,3,expert:mf_fno_transfer_film,0.1464915805046393,14.649158050463932
273,13,4,expert:mf_fno_transfer_film,0.13814084961394393,13.814084961394393
273,14,5,expert:mf_fno_transfer_film,0.12647485451485999,12.647485451485998
273,15,6,expert:mf_fno_transfer_film,0.1280100041494777,12.801000414947769
273,16,7,expert:mf_fno_transfer_film,0.10663656567419977,10.663656567419977
273,10,1,expert:mf_fno_allpairs,0.3700762833514775,37.00762833514775
273,11,2,expert:mf_fno_allpairs,0.27062224674666063,27.062224674666062
273,12,3,expert:mf_fno_allpairs,0.19251767594494745,19.251767594494744
273,13,4,expert:mf_fno_allpairs,0.14100808032536297,14.100808032536296
273,14,5,expert:mf_fno_allpairs,0.10053296976151892,10.053296976151891
273,15,6,expert:mf_fno_allpairs,0.08869925441155237,8.869925441155237
273,16,7,expert:mf_fno_allpairs,0.07548930689069738,7.5489306890697385
273,10,1,expert:convnext_unet_film,0.2918109520095885,29.18109520095885
273,11,2,expert:convnext_unet_film,0.2802362934461874,28.02362934461874
273,12,3,expert:convnext_unet_film,0.2531796799073222,25.31796799073222
273,13,4,expert:convnext_unet_film,0.21433845032031976,21.433845032031975
273,14,5,expert:convnext_unet_film,0.17637130999414494,17.637130999414495
273,15,6,expert:convnext_unet_film,0.12590272872257743,12.590272872257744
273,16,7,expert:convnext_unet_film,0.08589640795489199,8.5896407954892
273,10,1,expert:fno_fire_distcond,0.17543047697979988,17.54304769797999
273,11,2,expert:fno_fire_distcond,0.1467387042038049,14.673870420380489
273,12,3,expert:fno_fire_distcond,0.12321587809035989,12.32158780903599
273,13,4,expert:fno_fire_distcond,0.11089842548957593,11.089842548957593
273,14,5,expert:fno_fire_distcond,0.10053482961635302,10.053482961635302
273,15,6,expert:fno_fire_distcond,0.09959644495558645,9.959644495558646
273,16,7,expert:fno_fire_distcond,0.09532167800144146,9.532167800144146
273,10,1,expert:wno_transfer_film,0.10524934958940195,10.524934958940195
273,11,2,expert:wno_transfer_film,0.09385266532924495,9.385266532924495
273,12,3,expert:wno_transfer_film,0.0969883806948456,9.698838069484559
273,13,4,expert:wno_transfer_film,0.09203391737735964,9.203391737735963
273,14,5,expert:wno_transfer_film,0.09827532566526344,9.827532566526344
273,15,6,expert:wno_transfer_film,0.09250297052813221,9.25029705281322
273,16,7,expert:wno_transfer_film,0.10381717451032267,10.381717451032268
273,10,1,expert:mf_deeponet,0.09817938296530247,9.817938296530247
273,11,2,expert:mf_deeponet,0.099047168912697,9.9047168912697
273,12,3,expert:mf_deeponet,0.09106206829353075,9.106206829353075
273,13,4,expert:mf_deeponet,0.10009503548535714,10.009503548535715
273,14,5,expert:mf_deeponet,0.09233635430592572,9.233635430592573
273,15,6,expert:mf_deeponet,0.0979037526715336,9.79037526715336
273,16,7,expert:mf_deeponet,0.08892587176394674,8.892587176394674
273,10,1,expert:st_hf_pod_gp,0.05740517654986265,5.740517654986265
273,11,2,expert:st_hf_pod_gp,0.0802000197961114,8.02000197961114
273,12,3,expert:st_hf_pod_gp,0.0624475136845688,6.24475136845688
273,13,4,expert:st_hf_pod_gp,0.0697385991608417,6.97385991608417
273,14,5,expert:st_hf_pod_gp,0.06588835782827697,6.588835782827697
273,15,6,expert:st_hf_pod_gp,0.07922904400787054,7.922904400787053
273,16,7,expert:st_hf_pod_gp,0.05667302347539288,5.667302347539288
273,10,1,expert:uqcorr_transolver_pred,0.3085207632505005,30.85207632505005
273,11,2,expert:uqcorr_transolver_pred,0.2844545612846589,28.44545612846589
273,12,3,expert:uqcorr_transolver_pred,0.23196369680642148,23.19636968064215
273,13,4,expert:uqcorr_transolver_pred,0.19512293650639623,19.512293650639624
273,14,5,expert:uqcorr_transolver_pred,0.1559416804824155,15.59416804824155
273,15,6,expert:uqcorr_transolver_pred,0.13468762800770887,13.468762800770886
273,16,7,expert:uqcorr_transolver_pred,0.11409397885349408,11.409397885349408
273,10,1,expert:uqcorr_convnext_pred,0.09166976172981553,9.166976172981553
273,11,2,expert:uqcorr_convnext_pred,0.08976203877710665,8.976203877710665
273,12,3,expert:uqcorr_convnext_pred,0.08126727819153338,8.126727819153338
273,13,4,expert:uqcorr_convnext_pred,0.08208875791585624,8.208875791585623
273,14,5,expert:uqcorr_convnext_pred,0.07651171412078328,7.6511714120783285
273,15,6,expert:uqcorr_convnext_pred,0.0827781630195676,8.27781630195676
273,16,7,expert:uqcorr_convnext_pred,0.07274514270190363,7.274514270190363
273,10,1,hf_only_control,0.25105313261537626,25.105313261537628
273,11,2,hf_only_control,0.23416490567858048,23.416490567858048
273,12,3,hf_only_control,0.2326329006707058,23.26329006707058
273,13,4,hf_only_control,0.22438209466852138,22.43820946685214
273,14,5,hf_only_control,0.22775669024737305,22.775669024737304
273,15,6,hf_only_control,0.22181780548985927,22.181780548985927
273,16,7,hf_only_control,0.24154640541224207,24.154640541224207
273,10,1,training_mean_control,0.05740517692942737,5.740517692942737
273,11,2,training_mean_control,0.08020002030606393,8.020002030606394
273,12,3,training_mean_control,0.062447514237936784,6.244751423793678
273,13,4,training_mean_control,0.06973859945635905,6.973859945635905
273,14,5,training_mean_control,0.06588835843539756,6.588835843539756
273,15,6,training_mean_control,0.07922904448851116,7.922904448851116
273,16,7,training_mean_control,0.056673024194245615,5.667302419424561
273,10,1,b5__selected_single,0.05740517654986265,5.740517654986265
273,11,2,b5__selected_single,0.0802000197961114,8.02000197961114
273,12,3,b5__selected_single,0.0624475136845688,6.24475136845688
273,13,4,b5__selected_single,0.0697385991608417,6.97385991608417
273,14,5,b5__selected_single,0.06588835782827697,6.588835782827697
273,15,6,b5__selected_single,0.07922904400787054,7.922904400787053
273,16,7,b5__selected_single,0.05667302347539288,5.667302347539288
273,10,1,b5__inverse_mse,0.06933078085529695,6.933078085529695
273,11,2,b5__inverse_mse,0.07110482938281422,7.110482938281422
273,12,3,b5__inverse_mse,0.054278844930424994,5.427884493042499
273,13,4,b5__inverse_mse,0.05677946793088054,5.677946793088054
273,14,5,b5__inverse_mse,0.051115168598585316,5.111516859858532
273,15,6,b5__inverse_mse,0.05921387179532376,5.921387179532376
273,16,7,b5__inverse_mse,0.04320304750935221,4.320304750935221
273,10,1,b5__full,0.07690141571498568,7.690141571498568
273,11,2,b5__full,0.07925194464523624,7.925194464523624
273,12,3,b5__full,0.05952276133598927,5.952276133598927
273,13,4,b5__full,0.06141122860762156,6.141122860762156
273,14,5,b5__full,0.05520384747394442,5.520384747394442
273,15,6,b5__full,0.06585396088180034,6.585396088180034
