dataset,partition,model,kind,budget,n_eval,mean_rel_l2
sharp__allen_cahn_2d,71,st_mfdnn,baseline,,16,0.47332354821264744
sharp__allen_cahn_2d,71,st_mfdeeponet,baseline,,16,0.382251194678247
sharp__allen_cahn_2d,71,st_dmfal,baseline,,16,0.3435623637633398
sharp__allen_cahn_2d,71,nomad_mf,baseline,,16,0.7417485785889005
sharp__allen_cahn_2d,71,mfrnp,baseline,,16,0.5354557542812074
sharp__allen_cahn_2d,71,fno_coregionalization,baseline,,16,0.3825559994028379
sharp__allen_cahn_2d,71,mf_fno_transfer,baseline,,16,0.4349757948100237
sharp__allen_cahn_2d,71,mf_fno_transfer_bar,baseline,,16,0.4349757948100237
sharp__allen_cahn_2d,71,st_lf_affine_pod,baseline,,16,0.45610603131353855
sharp__allen_cahn_2d,71,st_knn,baseline,,16,0.7279248144477606
sharp__allen_cahn_2d,71,st_mean,baseline,,16,0.9981876872479916
sharp__allen_cahn_2d,71,selected_single,ensemble,5,16,0.3253561434653415
sharp__allen_cahn_2d,71,inverse_mse,ensemble,5,16,0.3299249258350688
sharp__allen_cahn_2d,71,full,ensemble,5,16,0.3009409557292607
sharp__allen_cahn_2d,71,uniform,ensemble,5,16,0.3548361643226751
sharp__allen_cahn_2d,71,auto,ensemble,5,16,0.3009409557292607
sharp__allen_cahn_2d,71,selected_single,ensemble,10,16,0.3253561434653415
sharp__allen_cahn_2d,71,inverse_mse,ensemble,10,16,0.3304954294078846
sharp__allen_cahn_2d,71,full,ensemble,10,16,0.29992522896705476
sharp__allen_cahn_2d,71,uniform,ensemble,10,16,0.3548361643226751
sharp__allen_cahn_2d,71,auto,ensemble,10,16,0.29992522896705476
sharp__allen_cahn_2d,71,selected_single,ensemble,20,16,0.3253561434653415
sharp__allen_cahn_2d,71,inverse_mse,ensemble,20,16,0.32841127599697717
sharp__allen_cahn_2d,71,full,ensemble,20,16,0.3002152691127692
sharp__allen_cahn_2d,71,uniform,ensemble,20,16,0.3548361643226751
sharp__allen_cahn_2d,71,auto,ensemble,20,16,0.3002152691127692
sharp__allen_cahn_2d,172,mf_fno_transfer_film,individual,,16,0.5993180183816831
sharp__allen_cahn_2d,172,mf_fno_allpairs,individual,,16,0.6020929892143195
sharp__allen_cahn_2d,172,convnext_unet_film,individual,,16,0.4680772195986746
sharp__allen_cahn_2d,172,fno_fire_distcond,individual,,16,0.5177651146963786
sharp__allen_cahn_2d,172,wno_transfer_film,individual,,16,0.4640332745038598
sharp__allen_cahn_2d,172,mf_deeponet,individual,,16,1.0609133913410365
sharp__allen_cahn_2d,172,st_hf_pod_gp,individual,,16,0.6114554371920038
sharp__allen_cahn_2d,172,uqcorr_transolver_pred,individual,,16,0.45184618932618503
sharp__allen_cahn_2d,172,uqcorr_convnext_pred,individual,,16,0.41058337197278816
sharp__allen_cahn_2d,172,st_koh_pod,baseline,,16,0.6112846676260233
sharp__allen_cahn_2d,172,st_nargp_pod,baseline,,16,0.9931578375399113
sharp__allen_cahn_2d,172,st_mfdnn,baseline,,16,0.7043877057731152
sharp__allen_cahn_2d,172,st_mfdeeponet,baseline,,16,0.5147919170558453
sharp__allen_cahn_2d,172,st_dmfal,baseline,,16,0.46941978577524424
sharp__allen_cahn_2d,172,nomad_mf,baseline,,16,1.0956174215267516
sharp__allen_cahn_2d,172,mfrnp,baseline,,16,0.783018757951286
sharp__allen_cahn_2d,172,fno_coregionalization,baseline,,16,0.5615430055512778
sharp__allen_cahn_2d,172,mf_fno_transfer,baseline,,16,0.6540801369055969
sharp__allen_cahn_2d,172,mf_fno_transfer_bar,baseline,,16,0.6540801369055969
sharp__allen_cahn_2d,172,st_lf_affine_pod,baseline,,16,0.6112796664237976
sharp__allen_cahn_2d,172,st_knn,baseline,,16,0.8223739266395569
sharp__allen_cahn_2d,172,st_mean,baseline,,16,1.0012685991823673
sharp__allen_cahn_2d,172,selected_single,ensemble,5,16,0.41058337197278816
sharp__allen_cahn_2d,172,inverse_mse,ensemble,5,16,0.4136975439657017
sharp__allen_cahn_2d,172,full,ensemble,5,16,0.3718946196935238
sharp__allen_cahn_2d,172,uniform,ensemble,5,16,0.4398164149631556
sharp__allen_cahn_2d,172,auto,ensemble,5,16,0.41058337197278816
sharp__allen_cahn_2d,172,selected_single,ensemble,10,16,0.41058337197278816
sharp__allen_cahn_2d,172,inverse_mse,ensemble,10,16,0.4082747332227983
sharp__allen_cahn_2d,172,full,ensemble,10,16,0.3653366265017961
sharp__allen_cahn_2d,172,uniform,ensemble,10,16,0.4398164149631556
sharp__allen_cahn_2d,172,auto,ensemble,10,16,0.3653366265017961
sharp__allen_cahn_2d,172,selected_single,ensemble,20,16,0.41058337197278816
sharp__allen_cahn_2d,172,inverse_mse,ensemble,20,16,0.41234450844966747
sharp__allen_cahn_2d,172,full,ensemble,20,16,0.36438444173248696
sharp__allen_cahn_2d,172,uniform,ensemble,20,16,0.4398164149631556
sharp__allen_cahn_2d,172,auto,ensemble,20,16,0.36438444173248696
sharp__allen_cahn_2d,273,mf_fno_transfer_film,individual,,16,0.5492661145466378
sharp__allen_cahn_2d,273,mf_fno_allpairs,individual,,16,0.5651093156789319
sharp__allen_cahn_2d,273,convnext_unet_film,individual,,16,0.4353855938688137
sharp__allen_cahn_2d,273,fno_fire_distcond,individual,,16,0.4561005226257937
sharp__allen_cahn_2d,273,wno_transfer_film,individual,,16,0.4332352803090772
sharp__allen_cahn_2d,273,mf_deeponet,individual,,16,1.177902830234391
sharp__allen_cahn_2d,273,st_hf_pod_gp,individual,,16,0.5962392890860737
sharp__allen_cahn_2d,273,uqcorr_transolver_pred,individual,,16,0.44658088338207613
sharp__allen_cahn_2d,273,uqcorr_convnext_pred,individual,,16,0.4266938708433893
sharp__allen_cahn_2d,273,st_koh_pod,baseline,,16,0.5961075071245432
sharp__allen_cahn_2d,273,st_nargp_pod,baseline,,16,0.9880339466035366
sharp__allen_cahn_2d,273,st_mfdnn,baseline,,16,0.6185448383912444
sharp__allen_cahn_2d,273,st_mfdeeponet,baseline,,16,0.44672223739326
sharp__allen_cahn_2d,273,st_dmfal,baseline,,16,0.42451139085460454
sharp__allen_cahn_2d,273,nomad_mf,baseline,,16,0.9957577227032912
sharp__allen_cahn_2d,273,mfrnp,baseline,,16,0.7528397410658016
sharp__allen_cahn_2d,273,fno_coregionalization,baseline,,16,0.5233164945765523
sharp__allen_cahn_2d,273,mf_fno_transfer,baseline,,16,0.5857534492796194
sharp__allen_cahn_2d,273,mf_fno_transfer_bar,baseline,,16,0.5857534492796194
sharp__allen_cahn_2d,273,st_lf_affine_pod,baseline,,16,0.5960993990302086
sharp__allen_cahn_2d,273,st_knn,baseline,,16,0.7974653709679842
sharp__allen_cahn_2d,273,st_mean,baseline,,16,1.0005075633525848
sharp__allen_cahn_2d,273,selected_single,ensemble,5,16,0.44658088338207613
sharp__allen_cahn_2d,273,inverse_mse,ensemble,5,16,0.39273424517782723
sharp__allen_cahn_2d,273,full,ensemble,5,16,0.3660079625638056
sharp__allen_cahn_2d,273,uniform,ensemble,5,16,0.4281682979722653
sharp__allen_cahn_2d,273,auto,ensemble,5,16,0.39273424517782723
sharp__allen_cahn_2d,273,selected_single,ensemble,10,16,0.4266938708433893
sharp__allen_cahn_2d,273,inverse_mse,ensemble,10,16,0.39161191997116285
sharp__allen_cahn_2d,273,full,ensemble,10,16,0.36565163832242786
sharp__allen_cahn_2d,273,uniform,ensemble,10,16,0.4281682979722653
sharp__allen_cahn_2d,273,auto,ensemble,10,16,0.36565163832242786
sharp__allen_cahn_2d,273,selected_single,ensemble,20,16,0.4266938708433893
sharp__allen_cahn_2d,273,inverse_mse,ensemble,20,16,0.3893351740254244
sharp__allen_cahn_2d,273,full,ensemble,20,16,0.35610602908635863
sharp__allen_cahn_2d,273,uniform,ensemble,20,16,0.4281682979722653
sharp__allen_cahn_2d,273,auto,ensemble,20,16,0.35610602908635863
sharp__phase_field_crystal_2d,71,mf_fno_transfer_film,individual,,20,0.873998702807451
sharp__phase_field_crystal_2d,71,mf_fno_allpairs,individual,,20,0.8834483698850939
sharp__phase_field_crystal_2d,71,convnext_unet_film,individual,,20,1.0926391889876086
sharp__phase_field_crystal_2d,71,fno_fire_distcond,individual,,20,0.8164893960427451
sharp__phase_field_crystal_2d,71,wno_transfer_film,individual,,20,2.0538777724363326
sharp__phase_field_crystal_2d,71,mf_deeponet,individual,,20,1.194763736873646
sharp__phase_field_crystal_2d,71,st_hf_pod_gp,individual,,20,0.8214934186423465
sharp__phase_field_crystal_2d,71,uqcorr_transolver_pred,individual,,20,0.8486133340033195
sharp__phase_field_crystal_2d,71,uqcorr_convnext_pred,individual,,20,0.8575737454617703
sharp__phase_field_crystal_2d,71,st_koh_pod,baseline,,20,0.8211552947759628
sharp__phase_field_crystal_2d,71,st_nargp_pod,baseline,,20,0.8563997000455856
sharp__phase_field_crystal_2d,71,st_mfdnn,baseline,,20,0.897898155450821
sharp__phase_field_crystal_2d,71,st_mfdeeponet,baseline,,20,0.8700135409832
sharp__phase_field_crystal_2d,71,st_dmfal,baseline,,20,0.869113090634346
sharp__phase_field_crystal_2d,71,nomad_mf,baseline,,20,1.4838030356569754
